time,h_sigma,cycle,spot,dh_fit_dx,delta_time,rms_misfit,segment_id,dh_fit_dy,w_surface_window_final,n_fit_photons,rgt,pflags,h_mean,distance,gt,geometry,lon,lat,x,y,snow_depth,geometry_2
45:28.2,0.027713013,11,1,-0.012187799,104039128.2,0.203839372,245086,0,3,56,387,0,771.8390694,4914872.9,60,POINT (-122.05813240212957 44.15299572225683),-122.0581324,44.15299572,575319.186,4889297.22,-0.588298766,
45:27.9,0.06144399,11,2,-0.069602987,104039127.9,0.186480558,245086,0,3,10,387,0,769.8112983,4914872.9,50,POINT (-122.05923024638645 44.15291933908909),-122.0592302,44.15291934,575231.4904,4889287.731,-0.599346236,
45:27.9,0.054043303,11,2,-0.03550919,104039127.9,0.179236838,245087,0,3,11,387,0,769.0472066,4914887.942,50,POINT (-122.05924821778704 44.1530540927362),-122.0592482,44.15305409,575229.8821,4889302.682,-0.610020007,
45:28.2,0.024529848,11,1,-0.033506494,104039128.2,0.188488498,245087,0,3,64,387,0,771.474645,4914887.942,60,POINT (-122.05815014425552 44.15313049133575),-122.0581501,44.15313049,575317.5957,4889312.172,-0.70077001,
45:28.2,0.025657725,11,1,-0.034327751,104039128.2,0.198375162,245087,0,3,64,387,0,771.00965,4914902.983,60,POINT (-122.05816765515533 44.15326527770127),-122.0581677,44.15326528,575316.024,4889327.127,-0.596184979,
45:27.9,0.036261936,11,2,-0.047121919,104039127.9,0.122182429,245087,0,3,12,387,0,768.4525187,4914902.983,50,POINT (-122.05926619326239 44.15318884660962),-122.0592662,44.15318885,575228.2734,4889317.633,-0.647517929,
45:27.9,0.059386664,11,2,-0.01569225,104039127.9,0.186486102,245088,0,3,10,387,0,767.9570204,4914917.983,50,POINT (-122.05928414947076 44.1533232315211),-122.0592841,44.15332323,575226.6668,4889332.542,-0.536876051,
45:28.2,0.032152859,11,1,-0.04667039,104039128.2,0.192883938,245088,0,3,36,387,0,770.4581041,4914917.983,60,POINT (-122.05818493609333 44.15339970934858),-122.0581849,44.15339971,575314.4711,4889342.043,-0.636927637,
45:28.2,0.025529681,11,1,-0.031839143,104039128.2,0.166677254,245089,0,3,51,387,0,769.8538527,4914933.024,60,POINT (-122.05820214131656 44.15353451565314),-122.0582021,44.15353452,575312.9238,4889357,-0.717863575,
45:27.9,0.058098194,11,2,-0.022172362,104039127.9,0.251074659,245090,0,3,20,387,0,767.1752692,4914948.065,50,POINT (-122.05932006725807 44.153592740922775),-122.0593201,44.15359274,575223.4522,4889362.444,-0.484703934,
45:28.2,0.024324989,11,1,-0.037675696,104039128.2,0.195942649,245090,0,3,65,387,0,769.3140855,4914948.065,60,POINT (-122.05821921922606 44.153669330854704),-122.0582192,44.15366933,575311.3866,4889371.959,-0.567201094,
45:28.2,0.027734538,11,1,-0.032651226,104039128.2,0.205664443,245090,0,3,55,387,0,768.7577776,4914963.106,60,POINT (-122.05823621590127 44.15380415321907),-122.0582362,44.15380415,575309.856,4889386.918,-0.658482205,
45:27.9,0.0777661,11,2,-0.045327921,104039127.9,0.242990657,245090,0,3,11,387,0,766.6331876,4914963.106,50,POINT (-122.0593379732147 44.153727499684294),-122.059338,44.1537275,575221.8491,4889377.396,-0.968741071,
45:28.2,0.025823465,11,1,-0.039563084,104039128.2,0.194942276,245091,0,3,57,387,0,768.2205974,4914978.106,60,POINT (-122.05825309647615 44.15393861223757),-122.0582531,44.15393861,575308.3351,4889401.837,-0.699751723,
45:28.2,0.031923756,11,1,-0.054944654,104039128.2,0.229844697,245092,0,3,56,387,0,767.4548417,4914993.147,60,POINT (-122.05827000954412 44.15407343901411),-122.05827,44.15407344,575306.8111,4889416.797,-0.422965952,
45:27.9,0.104520816,11,2,-0.058967677,104039127.9,0.320429461,245092,0,3.100562333,10,387,0,765.2843347,4914993.147,50,POINT (-122.0593736270712 44.15399665487605),-122.0593736,44.15399665,575218.656,4889407.259,-0.639188207,
45:28.2,0.034160005,11,1,-0.053277896,104039128.2,0.228867985,245093,0,3,45,387,0,766.5804988,4915008.188,60,POINT (-122.05828692253866 44.15420826580606),-122.0582869,44.15420827,575305.2872,4889431.757,-0.313239036,
45:27.9,0.069740671,11,2,-0.008176095,104039127.9,0.213876265,245093,0,3,12,387,0,764.8369374,4915008.188,50,POINT (-122.05939136046388 44.15413142576949),-122.0593914,44.15413143,575217.0667,4889422.212,-0.762916089,
45:27.9,0.055598042,11,2,-0.01917186,104039127.9,0.200160527,245093,0,3,13,387,0,764.5538376,4915023.23,50,POINT (-122.05940902915049 44.15426620261881),-122.059409,44.1542662,575215.4826,4889437.165,-0.414912448,
45:28.2,0.03122433,11,1,-0.059756388,104039128.2,0.216046209,245093,0,3,49,387,0,765.7100926,4915023.23,60,POINT (-122.05830384705767 44.154343093251505),-122.0583038,44.15434309,575303.7623,4889446.717,-0.49779315,
45:27.9,0.062131914,11,2,-0.022173623,104039127.9,0.195432661,245094,0,3,12,387,0,764.1936174,4915038.23,50,POINT (-122.05942659948586 44.15440061192987),-122.0594266,44.15440061,575213.9069,4889452.078,-0.40916585,
45:28.2,0.028273086,11,1,-0.041477413,104039128.2,0.213418141,245094,0,3,58,387,0,764.9202168,4915038.23,60,POINT (-122.05832075748593 44.1544775492865),-122.0583208,44.15447755,575302.239,4889461.636,-0.559580576,
45:28.2,0.028141474,11,1,-0.026021234,104039128.2,0.186472503,245095,0,3,48,387,0,764.4242812,4915053.271,60,POINT (-122.05833776376898 44.15461237049289),-122.0583378,44.15461237,575300.7077,4889476.595,-0.609044016,
45:27.9,0.04780488,11,2,-0.031235035,104039127.9,0.159354704,245095,0,3,12,387,0,763.6854831,4915053.271,50,POINT (-122.05944408855935 44.15453539888629),-122.0594441,44.1545354,575212.3371,4889467.033,-0.610781524,
45:28.2,0.044928317,11,1,-0.003380249,104039128.2,0.207861358,245096,0,3,26,387,0,764.1603235,4915068.312,60,POINT (-122.05835480363183 44.15474718953888),-122.0583548,44.15474719,575299.1736,4889491.554,-0.316300076,
45:27.9,0.052749523,11,2,-0.022509627,104039127.9,0.188231274,245096,0,3,13,387,0,763.2440341,4915068.312,50,POINT (-122.05946152351586 44.15467019076842),-122.0594615,44.15467019,575210.7717,4889481.989,-0.451949816,
45:28.3,0.164585879,11,3,-0.193458839,104039128.3,0.517780792,245096,0,5.679910822,14,387,0,512.3978977,4915083.353,40,POINT (-122.09836753338116 44.15209639798927),-122.0983675,44.1520964,572102.753,4889161.271,-0.418081304,
45:27.9,0.074141282,11,2,-0.028322645,104039127.9,0.228385043,245096,0,3,10,387,0,762.8014047,4915083.353,50,POINT (-122.05947895000159 44.154804984489964),-122.059479,44.15480498,575209.207,4889496.944,-0.598131432,
45:28.3,0.049818911,11,3,-0.085551697,104039128.3,0.275170062,245097,0,3,38,387,0,510.1600424,4915098.353,40,POINT (-122.09838507749208 44.15223081606472),-122.0983851,44.15223082,572101.1864,4889176.186,0.071968654,
45:28.3,0.030162716,11,3,-0.01062564,104039128.3,0.21111917,245098,0,3,49,387,0,509.3077233,4915113.394,40,POINT (-122.09840249726324 44.152365613297135),-122.0984025,44.15236561,572099.6292,4889191.143,-0.251786018,
45:28.3,0.031413776,11,3,-0.012126792,104039128.3,0.219886335,245099,0,3,49,387,0,509.1458854,4915128.435,40,POINT (-122.09841990950976 44.15250041155001),-122.0984199,44.15250041,572098.0726,4889206.1,-0.494831185,
45:28.3,0.030635895,11,3,-0.018884159,104039128.3,0.227097955,245099,0,3,55,387,0,508.9168437,4915143.476,40,POINT (-122.09843748370818 44.152635201268836),-122.0984375,44.1526352,572096.5032,4889221.055,-0.519008383,
45:28.3,0.031363665,11,3,-0.0497754,104039128.3,0.228300537,245100,0,3,53,387,0,508.440702,4915158.476,40,POINT (-122.09845517990314 44.15276961006362),-122.0984552,44.15276961,572094.9244,4889235.969,-0.539827799,
45:27.9,0.027638486,11,2,0.022475376,104039127.9,0.08739902,245100,0,3,10,387,0,762.527801,4915158.476,50,POINT (-122.05956632631323 44.15547818419217),-122.0595663,44.15547818,575201.3648,4889571.638,-0.751312742,
45:28.3,0.031480057,11,1,0.017030173,104039128.3,0.188193024,245101,0,3,37,387,0,764.1270612,4915173.517,60,POINT (-122.05847723560952 44.15568995645747),-122.0584772,44.15568996,575288.1845,4889596.156,-0.629530603,
45:28.3,0.053445648,11,3,-0.108019841,104039128.3,0.337943573,245101,0,3,41,387,0,507.2315739,4915173.517,40,POINT (-122.0984732158011 44.15290436521918),-122.0984732,44.15290437,572093.318,4889250.92,-0.992852323,
45:27.9,0.092135121,11,4,-0.066122786,104039127.9,0.343667142,245102,0,3,15,387,0,500.4918567,4915188.559,30,POINT (-122.0996449492097 44.152958444544694),-122.0996449,44.15295844,571999.5508,4889255.901,-0.032404742,
45:28.3,0.022064191,11,1,0.009519526,104039128.3,0.157353108,245102,0,3,53,387,0,764.3196575,4915188.559,60,POINT (-122.05849525289267 44.15582470685843),-122.0584953,44.15582471,575286.5724,4889611.106,-0.624800516,
